dx,dy,dz,eye
-0.739688,0.518764,-0.428656,left
-0.666653,0.559548,-0.492422,left
-0.636328,0.651635,-0.412866,left
-0.539763,0.702629,-0.463647,left
-0.537439,0.750106,-0.385357,left
-0.457648,0.777619,-0.431123,left
-0.434495,0.828727,-0.352741,left
-0.345895,0.852545,-0.391820,left
-0.371689,0.799344,-0.472119,left
-0.255523,0.864120,-0.433595,left
-0.163314,0.867843,-0.469231,left
-0.136880,0.919731,-0.367912,left
-0.039078,0.913599,-0.404733,left
-0.074927,0.860289,-0.504271,left
-0.031894,0.777913,-0.627561,left
-0.104159,0.806723,-0.581678,left
-0.196786,0.813169,-0.547751,left
-0.223460,0.740515,-0.633800,left
-0.266798,0.814930,-0.514498,left
-0.289259,0.746555,-0.599153,left
-0.376607,0.739544,-0.557890,left
-0.459905,0.720056,-0.519622,left
-0.500960,0.631317,-0.592012,left
-0.575366,0.618524,-0.535147,left
-0.670451,0.502983,-0.545439,left
-0.166344,0.112861,-0.979588,left
-0.240284,0.154804,-0.958279,left
-0.230819,0.230171,-0.945380,left
-0.176635,0.192585,-0.965252,left
-0.127215,0.284333,-0.950248,left
-0.073905,0.241462,-0.967592,left
-0.008476,0.328084,-0.944610,left
-0.042142,0.495109,-0.867808,left
-0.081945,0.376513,-0.922780,left
-0.159395,0.431914,-0.887718,left
-0.185100,0.322759,-0.928205,left
-0.271295,0.366492,-0.889990,left
-0.313631,0.266713,-0.911318,left
-0.392618,0.282256,-0.875319,left
-0.304176,0.182949,-0.934883,left
-0.400245,0.220267,-0.889543,left
-0.450243,0.229650,-0.862868,left
-0.507471,0.246737,-0.825587,left
-0.507992,0.314008,-0.802087,left
-0.449393,0.294793,-0.843293,left
-0.429700,0.397144,-0.810946,left
-0.342138,0.381850,-0.858564,left
-0.335009,0.474822,-0.813826,left
-0.240541,0.450550,-0.859736,left
-0.216476,0.562193,-0.798171,left
-0.123928,0.523671,-0.842858,left
-0.091929,0.618318,-0.780533,left
-0.012256,0.582402,-0.812809,left
-0.050457,0.707526,-0.704883,left
-0.134169,0.736890,-0.662564,left
-0.176347,0.644601,-0.743903,left
-0.257944,0.664958,-0.700925,left
-0.341505,0.663058,-0.666129,left
-0.298018,0.576860,-0.760538,left
-0.370976,0.576413,-0.728097,left
-0.452519,0.576091,-0.680696,left
-0.408294,0.658174,-0.632537,left
-0.493948,0.463387,-0.735723,left
-0.563154,0.456695,-0.688685,left
-0.555437,0.402135,-0.727857,left
-0.629708,0.380639,-0.677187,left
-0.571466,0.307642,-0.760778,left
-0.637715,0.304639,-0.707471,left
-0.688607,0.359482,-0.629756,left
-0.744223,0.336260,-0.577115,left
-0.736715,0.398039,-0.546641,left
-0.692384,0.420442,-0.586372,left
-0.632114,0.441921,-0.636505,left
-0.602308,0.525704,-0.600717,left
-0.538207,0.550687,-0.638025,left
-0.907916,0.334746,-0.252259,left
-0.927318,0.344195,-0.147004,left
-0.927016,0.365247,-0.085065,left
-0.923576,0.382286,-0.029423,left
-0.928429,0.364902,0.069756,left
